course_id,title,provider,url,level,duration_bucket,language,topic,skills,skill_tags_normalized,description,estimated_effort_hours,format
crs_0066,"Scalable Go for Backend Services: Concurrency, APIs, and Logging",DeepLearning.AI,https://learning.example.com/courses/crs_0066/scalable-go-for-backend-services-concurrency-apis-and-logging,Mixed,1–4 Weeks,Portuguese (Brazil),Computer Science,"Go, Concurrency, Backend Development, Logging, Incident Management","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",6,Course
crs_0067,SQL for Analytics and Database Performance Tuning: Billing Playbook,Coursera,https://learning.example.com/courses/crs_0067/sql-for-analytics-and-database-performance-tuning-billing-playbook,Beginner,1–3 Months,English,Data Science,"SQL, Query Optimization, Indexes, PostgreSQL, Data Modeling","sql, database","This course helps you build job-ready skills for sql, database. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",27,Course
crs_0068,Modern State Management Patterns: Redux and Scalable UI,Meta,https://learning.example.com/courses/crs_0068/modern-state-management-patterns-redux-and-scalable-ui,Intermediate,1–4 Weeks,German,Computer Science,"Redux, State Management, TypeScript, Frontend, Testing","frontend, typescript, ui","This course helps you build job-ready skills for frontend, typescript, ui. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",11,Professional Certificate
crs_0069,"Scalable Go for Backend Services: Concurrency, APIs, and Logging (Capstone)",Coursera,https://learning.example.com/courses/crs_0069/scalable-go-for-backend-services-concurrency-apis-and-logging-(capstone),Intermediate,1–4 Weeks,Portuguese (Brazil),Computer Science,"Go, Concurrency, Backend Development, Logging","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",14,Specialization
crs_0070,FinOps Fundamentals: Cloud Cost Optimization and Governance at Scale (2026),Coursera,https://learning.example.com/courses/crs_0070/finops-fundamentals-cloud-cost-optimization-and-governance-at-scale-(2026),Beginner,1–4 Weeks,German,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting, System Design","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",13,Course
crs_0071,FinOps Fundamentals: Cloud Cost Optimization and Governance: Orders Essentials,Coursera,https://learning.example.com/courses/crs_0071/finops-fundamentals-cloud-cost-optimization-and-governance-orders-essentials,Beginner,1–4 Weeks,English,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting, Incident Management","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",10,Course
crs_0072,Kubernetes Foundations for Platform Engineers Foundations (Capstone),IBM SkillsBuild,https://learning.example.com/courses/crs_0072/kubernetes-foundations-for-platform-engineers-foundations-(capstone),Intermediate,1–3 Months,English,Information Technology,"Kubernetes, Containers, Cluster Management, Troubleshooting, SRE","kubernetes, platform, reliability, containers","This course helps you build job-ready skills for kubernetes, platform, reliability. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",22,Course
crs_0073,FinOps Fundamentals: Cloud Cost Optimization and Governance: Identity Track,Google Cloud,https://learning.example.com/courses/crs_0073/finops-fundamentals-cloud-cost-optimization-and-governance-identity-track,Beginner,Less than 2 hours,English,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting, Documentation","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0074,Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation,Coursera,https://learning.example.com/courses/crs_0074/practical-rag-systems-build-production-ready-retrieval-augmented-generation,Advanced,Less than 2 hours,Portuguese (Brazil),Data Science,"RAG, LLMs, Prompting, Evaluation, Vector Databases, Observability","rag, llm-systems, retrieval, vector-search","This course helps you build job-ready skills for rag, llm-systems, retrieval. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Guided Project
crs_0075,"Modern Observability: Logging, Metrics, Tracing, and Alerting",IBM SkillsBuild,https://learning.example.com/courses/crs_0075/modern-observability-logging-metrics-tracing-and-alerting,Intermediate,1–4 Weeks,English,Information Technology,"Observability, Monitoring, Logging, Alerting, Incident Response","observability, monitoring, logging, alerting, reliability","This course helps you build job-ready skills for observability, monitoring, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",10,Specialization
crs_0076,Hands-on Vector Search and Embeddings for Retrieval Systems,Coursera,https://learning.example.com/courses/crs_0076/hands-on-vector-search-and-embeddings-for-retrieval-systems,Intermediate,1–4 Weeks,German,Data Science,"Embeddings, Vector Search, Similarity Search, Information Retrieval, System Design, Performance Tuning","embeddings, retrieval, vector-search","This course helps you build job-ready skills for embeddings, retrieval, vector-search. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",9,Professional Certificate
crs_0077,Testing Strategies with PyTest and Mocking for Reliable Systems: Search Series,IBM Training,https://learning.example.com/courses/crs_0077/testing-strategies-with-pytest-and-mocking-for-reliable-systems-search-series,Intermediate,1–4 Weeks,English,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality, DevOps, System Design","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",10,Course
crs_0078,"Observability: Logging, Metrics, Tracing, and Alerting for Engineers",Coursera,https://learning.example.com/courses/crs_0078/observability-logging-metrics-tracing-and-alerting-for-engineers,Beginner,1–4 Weeks,French,Information Technology,"Observability, Monitoring, Logging, Alerting, Incident Response, System Design","observability, monitoring, logging, alerting, reliability","This course helps you build job-ready skills for observability, monitoring, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",6,Specialization
crs_0079,Caching and Rate Limiting for High-Scale APIs: Profile Track,Coursera,https://learning.example.com/courses/crs_0079/caching-and-rate-limiting-for-high-scale-apis-profile-track,Intermediate,1–4 Weeks,German,Computer Science,"Redis, Caching, Rate Limiting, API Gateway, Code Review, DevOps","caching, backend, api-gateway","This course helps you build job-ready skills for caching, backend, api-gateway. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",12,Course
crs_0080,RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations,Coursera,https://learning.example.com/courses/crs_0080/rag-systems-build-production-ready-retrieval-augmented-generation-foundations,Advanced,1–3 Months,English,Data Science,"RAG, LLMs, Prompting, Evaluation, Vector Databases","rag, llm-systems, retrieval, vector-search","This course helps you build job-ready skills for rag, llm-systems, retrieval. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",42,Specialization
crs_0081,Kubernetes Foundations for Platform Engineers Bootcamp,University Partner,https://learning.example.com/courses/crs_0081/kubernetes-foundations-for-platform-engineers-bootcamp,Beginner,1–4 Weeks,English,Information Technology,"Kubernetes, Containers, Cluster Management, Troubleshooting, SRE, Incident Management","kubernetes, platform, reliability, containers","This course helps you build job-ready skills for kubernetes, platform, reliability. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",10,Course
crs_0082,Scalable Secrets Management and Rotation Automation with Vault,Coursera,https://learning.example.com/courses/crs_0082/scalable-secrets-management-and-rotation-automation-with-vault,Advanced,3–6 Months,English,Information Technology,"Vault, Secrets Management, Automation, Security, Code Review, Security Best Practices","secrets, security, automation","This course helps you build job-ready skills for secrets, security, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",114,Course
crs_0083,FinOps Fundamentals: Cloud Cost Optimization and Governance for Engineers,Coursera,https://learning.example.com/courses/crs_0083/finops-fundamentals-cloud-cost-optimization-and-governance-for-engineers,Beginner,Less than 2 hours,French,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting, System Design, Observability","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Course
crs_0084,Testing Strategies with PyTest and Mocking for Reliable Systems at Scale,Coursera,https://learning.example.com/courses/crs_0084/testing-strategies-with-pytest-and-mocking-for-reliable-systems-at-scale,Advanced,Less than 2 hours,Spanish,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality, DevOps","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Course
crs_0085,Zero-Downtime Database Migrations with Liquibase for Engineers,Coursera,https://learning.example.com/courses/crs_0085/zero-downtime-database-migrations-with-liquibase-for-engineers,Advanced,Less than 2 hours,English,Information Technology,"Database Migrations, Liquibase, PostgreSQL, Release Engineering","database-migrations, release-engineering, database, sql","This course helps you build job-ready skills for database-migrations, release-engineering, database. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Guided Project
crs_0086,"Production Go for Backend Services: Concurrency, APIs, and Logging (v2)",IBM SkillsBuild,https://learning.example.com/courses/crs_0086/production-go-for-backend-services-concurrency-apis-and-logging-(v2),Intermediate,1–4 Weeks,German,Computer Science,"Go, Concurrency, Backend Development, Logging, Performance Tuning","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",14,Course
crs_0087,Feature Flags and Progressive Delivery: Analytics Playbook,Coursera,https://learning.example.com/courses/crs_0087/feature-flags-and-progressive-delivery-analytics-playbook,Intermediate,1–4 Weeks,English,Computer Science,"Feature Flags, Release Management, Risk Mitigation, Observability","feature-flags, release-engineering, risk-mitigation, observability","This course helps you build job-ready skills for feature-flags, release-engineering, risk-mitigation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",7,Course
crs_0088,Testing Strategies with PyTest and Mocking for Reliable Systems for Engineers,IBM SkillsBuild,https://learning.example.com/courses/crs_0088/testing-strategies-with-pytest-and-mocking-for-reliable-systems-for-engineers,Advanced,1–4 Weeks,English,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality, Testing","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",9,Course
crs_0089,API Design and Backend Engineering: Patterns and Practices: Search Series,Coursera,https://learning.example.com/courses/crs_0089/api-design-and-backend-engineering-patterns-and-practices-search-series,Intermediate,Less than 2 hours,English,Computer Science,"API Design, Backend Development, REST APIs, System Design, Performance Tuning","backend, api-design","This course helps you build job-ready skills for backend, api-design. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0090,"Modern Observability: Logging, Metrics, Tracing, and Alerting (Edition)",Coursera,https://learning.example.com/courses/crs_0090/modern-observability-logging-metrics-tracing-and-alerting-(edition),Beginner,1–4 Weeks,English,Information Technology,"Observability, Monitoring, Logging, Alerting, Incident Response, Performance Tuning","observability, monitoring, logging, alerting, reliability","This course helps you build job-ready skills for observability, monitoring, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",8,Specialization
crs_0091,Secrets Management and Rotation Automation with Vault for Engineers,Coursera,https://learning.example.com/courses/crs_0091/secrets-management-and-rotation-automation-with-vault-for-engineers,Beginner,1–4 Weeks,English,Information Technology,"Vault, Secrets Management, Automation, Security","secrets, security, automation","This course helps you build job-ready skills for secrets, security, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",10,Course
crs_0092,Secrets Management and Rotation Automation with Vault: Orders Program,Coursera,https://learning.example.com/courses/crs_0092/secrets-management-and-rotation-automation-with-vault-orders-program,Beginner,Less than 2 hours,English,Information Technology,"Vault, Secrets Management, Automation, Security, Observability","secrets, security, automation","This course helps you build job-ready skills for secrets, security, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0093,Modern Frontend Engineering with React and TypeScript: Notifications Program,IBM Training,https://learning.example.com/courses/crs_0093/modern-frontend-engineering-with-react-and-typescript-notifications-program,Beginner,Less than 2 hours,English,Computer Science,"React, TypeScript, UI Engineering, Accessibility, State Management, Observability","frontend, react, typescript, ui, accessibility","This course helps you build job-ready skills for frontend, react, typescript. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Professional Certificate
crs_0094,Scalable Kubernetes Foundations for Platform Engineers,IBM SkillsBuild,https://learning.example.com/courses/crs_0094/scalable-kubernetes-foundations-for-platform-engineers,Beginner,3–6 Months,English,Information Technology,"Kubernetes, Containers, Cluster Management, Troubleshooting, SRE, Cloud Architecture","kubernetes, platform, reliability, containers","This course helps you build job-ready skills for kubernetes, platform, reliability. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",69,Course
crs_0095,Modern High-Impact Technical Communication for Engineers,Coursera,https://learning.example.com/courses/crs_0095/modern-high-impact-technical-communication-for-engineers,Beginner,1–4 Weeks,Spanish,Personal Development,"Technical Writing, Stakeholder Communication, Documentation, Code Review","communication, documentation","This course helps you build job-ready skills for communication, documentation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",6,Course
crs_0096,Supply Chain Security and Container Scanning in CI for Engineers,IBM SkillsBuild,https://learning.example.com/courses/crs_0096/supply-chain-security-and-container-scanning-in-ci-for-engineers,Advanced,1–4 Weeks,English,Information Technology,"Software Supply Chain, SAST, SCA, Container Security, Trivy","security, supply-chain, sca, cicd","This course helps you build job-ready skills for security, supply-chain, sca. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",6,Course
crs_0097,"Observability: Logging, Metrics, Tracing, and Alerting: Profile Essentials",Coursera,https://learning.example.com/courses/crs_0097/observability-logging-metrics-tracing-and-alerting-profile-essentials,Mixed,3–6 Months,English,Information Technology,"Observability, Monitoring, Logging, Alerting, Incident Response, Performance Tuning, Cloud Architecture","observability, monitoring, logging, alerting, reliability","This course helps you build job-ready skills for observability, monitoring, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",115,Specialization
crs_0098,Testing Strategies with PyTest and Mocking for Reliable Systems: Notifications Essentials,Coursera,https://learning.example.com/courses/crs_0098/testing-strategies-with-pytest-and-mocking-for-reliable-systems-notifications-es,Beginner,Less than 2 hours,English,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0099,Testing Strategies with PyTest and Mocking for Reliable Systems: Orders Series,Coursera,https://learning.example.com/courses/crs_0099/testing-strategies-with-pytest-and-mocking-for-reliable-systems-orders-series,Beginner,Less than 2 hours,English,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality, Cloud Architecture","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Course
crs_0100,"Go for Backend Services: Concurrency, APIs, and Logging Bootcamp",Coursera,https://learning.example.com/courses/crs_0100/go-for-backend-services-concurrency-apis-and-logging-bootcamp,Intermediate,1–4 Weeks,English,Computer Science,"Go, Concurrency, Backend Development, Logging, Incident Management","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",6,Course
crs_0101,Foundations in Health for Busy Professionals,Coursera,https://learning.example.com/courses/crs_0101/foundations-in-health,Beginner,1–4 Weeks,English,Health,"Foundations, Learning Strategies, Practical Projects","learning, foundations",A compact introduction to Health with guided practice and practical examples.,10,Course
crs_0102,Foundations in Arts and Humanities for Busy Professionals,Coursera,https://learning.example.com/courses/crs_0102/foundations-in-arts-and-humanities,Beginner,1–4 Weeks,English,Arts and Humanities,"Foundations, Learning Strategies, Practical Projects","learning, foundations",A compact introduction to Arts and Humanities with guided practice and practical examples.,10,Course
crs_0103,Foundations in Physical Science and Engineering for Busy Professionals,Coursera,https://learning.example.com/courses/crs_0103/foundations-in-physical-science-and-engineering,Beginner,1–4 Weeks,English,Physical Science and Engineering,"Foundations, Learning Strategies, Practical Projects","learning, foundations",A compact introduction to Physical Science and Engineering with guided practice and practical examples.,10,Course
crs_0104,Foundations in Social Sciences for Busy Professionals,Coursera,https://learning.example.com/courses/crs_0104/foundations-in-social-sciences,Beginner,1–4 Weeks,English,Social Sciences,"Foundations, Learning Strategies, Practical Projects","learning, foundations",A compact introduction to Social Sciences with guided practice and practical examples.,10,Course
crs_0105,Foundations in Language Learning for Busy Professionals,Coursera,https://learning.example.com/courses/crs_0105/foundations-in-language-learning,Beginner,1–4 Weeks,English,Language Learning,"Foundations, Learning Strategies, Practical Projects","learning, foundations",A compact introduction to Language Learning with guided practice and practical examples.,10,Course
